id,length,diameter,color
70239202173044053,3.9,19.0,UNDEFINED
70239201931544223,5.0,5.0,RED
70239202173061020,3.0,5.0,YELLOW
70239202167093100,4.0,8.0,UNDEFINED
70239201931544264,4.0,2.0,GREEN
70239202149038582,4.0,2.0,UNDEFINED
70239202173079227,4.0,35.0,YELLOW
70239202173079540,3.0,0.0,YELLOW
70239202173041120,6.0,150.0,YELLOW
70239201940756915,4.0,8.0,UNDEFINED
70239202157985954,5.0,80.0,UNDEFINED
70239202173030827,3.5,11.0,UNDEFINED
70239202190669630,3.0,8.0,UNDEFINED
70239202149060033,3.0,5.0,UNDEFINED
70239201931548795,6.0,3.0,UNDEFINED
70239202173031239,4.8,29.0,BROWN
70239202156197890,5.0,60.0,UNDEFINED
70239202156300718,3.0,35.0,UNDEFINED
70239202173083465,4.0,2.0,UNDEFINED
70239202173069231,3.5,35.0,YELLOW
70239202173127529,4.8,80.0,BROWN
70239202149070937,3.0,20.0,UNDEFINED
70239201942560174,6.0,140.0,UNDEFINED
70239202164413912,4.0,2.0,UNDEFINED
70239202148960490,6.0,70.0,UNDEFINED
70239201940711571,4.0,2.0,UNDEFINED
70239202149066136,3.0,5.0,UNDEFINED
70239202173037662,3.9,19.0,UNDEFINED
70239202173032275,3.0,8.0,YELLOW
70239202156256753,4.5,45.0,UNDEFINED
70239202149062918,4.0,60.0,UNDEFINED
70239202157964767,3.5,45.0,UNDEFINED
70239202157979671,3.9,30.0,UNDEFINED
70239202173066757,3.0,0.0,YELLOW
70239202173095097,5.0,70.0,YELLOW
70239202173125945,4.8,35.0,RED
70239201940756488,4.0,2.0,UNDEFINED
70239202173481116,5.0,5.0,UNDEFINED
70239201940745447,19.0,5.5,UNDEFINED
70239202157978960,3.5,50.0,UNDEFINED
70239202188629740,4.0,5.0,UNDEFINED
70239202149057993,3.0,5.0,UNDEFINED
70239201976652672,4.0,8.0,UNDEFINED
70239202173045502,UNDEFINED,UNDEFINED,UNDEFINED
70239201931547270,4.0,2.0,UNDEFINED
70239202173052250,3.9,30.0,UNDEFINED
70239202148927213,4.0,2.0,UNDEFINED
